,HO,NAFLD,NASH,w16,w32,w48,w4,w8,HF12,HF18,STZ12,STZ18,MCD4,MCD8,Pten,HF30,WTD
HO,4,4,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3
NAFLD,4,47,36,9,9,13,6,5,9,8,8,6,4,6,3,3,21
NASH,2,36,73,22,18,20,8,12,8,5,7,4,4,6,3,2,32
w16,2,9,22,44,27,29,13,17,3,4,3,4,2,3,2,3,18
w32,2,9,18,27,62,44,13,12,10,5,4,5,5,5,2,3,14
w48,2,13,20,29,44,80,19,22,13,7,6,6,5,5,2,6,17
w4,2,6,8,13,13,19,49,23,5,9,3,6,3,3,2,5,8
w8,2,5,12,17,12,22,23,46,3,8,3,6,2,2,2,6,10
HF12,2,9,8,3,10,13,5,3,33,6,11,6,10,8,2,2,7
HF18,3,8,5,4,5,7,9,8,6,24,7,15,4,5,3,7,10
STZ12,3,8,7,3,4,6,3,3,11,7,14,6,5,5,3,3,7
STZ18,3,6,4,4,5,6,6,6,6,15,6,16,4,5,3,5,7
MCD4,2,4,4,2,5,5,3,2,10,4,5,4,10,8,2,2,3
MCD8,3,6,6,3,5,5,3,2,8,5,5,5,8,13,4,3,5
Pten,3,3,3,2,2,2,2,2,2,3,3,3,2,4,4,3,3
HF30,3,3,2,3,3,6,5,6,2,7,3,5,2,3,3,19,6
WTD,3,21,32,18,14,17,8,10,7,10,7,7,3,5,3,6,47
,HUM,,,RAT,,,,,MOUSE,,,,,,,,
,,,,,,,,,,,,,,,,,
