,HO_up,HO_down,NAFLD_up,NAFLD_down,NASH_up,NASH_down,w16_up,w32_up,w48_up,w48_down,w4_up,w8_up,w16_down,w32_down,w4_down,w8_down,HF12_up,HF12_down,HF18_up,HF18_down,STZ12_up,STZ12_down,STZ18_up,STZ18_down,MCD4_up,MCD4_down,MCD8_up,MCD8_down,Pten_up,Pten_down,HF30_up,HF30_down,WTD_up,WTD_down
HO_up,3,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2
HO_down,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAFLD_up,3,1,36,2,29,3,7,6,9,1,4,2,2,2,5,1,1,5,5,3,2,2,3,3,1,3,4,3,2,1,2,1,17,2
NAFLD_down,2,1,2,11,1,7,2,1,2,2,3,4,3,4,2,3,1,8,3,3,2,6,3,3,1,3,3,2,2,1,7,1,3,4
NASH_up,1,1,29,1,64,1,20,14,15,1,6,10,1,1,8,2,1,3,2,1,1,1,1,1,1,1,4,1,2,1,1,1,28,1
NASH_down,2,1,3,7,1,9,2,1,2,2,3,3,4,5,2,2,1,7,3,3,2,6,3,3,1,3,3,2,2,1,6,1,2,4
w16_up,1,1,7,2,20,2,39,24,25,2,10,14,1,3,4,3,1,3,1,2,1,2,1,2,1,1,2,1,1,1,2,1,16,2
w32_up,1,1,6,1,14,1,24,28,18,1,8,9,1,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,11,1
w48_up,1,1,9,2,15,2,25,18,42,1,11,18,6,11,7,3,1,5,2,2,2,2,1,2,1,2,1,2,1,1,5,1,10,4
w48_down,1,1,1,2,1,2,2,1,1,5,2,2,3,4,3,3,1,2,1,3,1,2,1,3,1,1,2,1,1,1,1,1,1,2
w4_up,1,1,4,3,6,3,10,8,11,2,30,17,15,15,1,1,1,7,5,1,1,2,2,1,1,3,1,3,1,1,4,1,6,2
w8_up,1,1,2,4,10,3,14,9,18,2,17,39,14,18,1,1,1,9,5,1,1,2,3,1,1,3,1,3,1,1,5,1,8,3
w16_down,1,1,2,3,1,4,1,1,6,3,15,14,34,26,5,3,1,9,6,4,1,3,4,4,1,4,1,4,1,1,5,1,2,3
w32_down,1,1,2,4,1,5,3,1,11,4,15,18,26,38,8,4,1,12,7,5,2,4,4,5,1,4,2,4,1,1,4,1,1,7
w4_down,1,1,5,2,8,2,4,5,7,3,1,1,5,8,19,6,1,4,1,4,1,2,1,4,1,2,2,2,1,1,2,1,2,2
w8_down,1,1,1,3,2,2,3,2,3,3,1,1,3,4,6,7,1,2,1,3,1,2,1,3,1,1,2,1,1,1,2,1,1,2
HF12_up,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HF12_down,2,1,5,8,3,7,3,2,5,2,7,9,9,12,4,2,1,32,8,5,3,10,5,5,1,9,4,7,3,1,11,1,5,6
HF18_up,2,1,5,3,2,3,1,1,2,1,5,5,6,7,1,1,1,8,17,2,3,2,8,2,1,4,2,3,2,1,6,1,6,3
HF18_down,2,1,3,3,1,3,2,1,2,3,1,1,4,5,4,3,1,5,2,7,2,4,2,7,1,3,3,3,2,1,2,1,2,4
STZ12_up,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,3,3,2,3,2,2,2,1,2,2,2,2,1,2,1,2,3
STZ12_down,2,1,2,6,1,6,2,1,2,2,2,2,3,4,2,2,1,10,2,4,2,11,2,4,1,4,3,3,2,1,6,1,2,5
STZ18_up,2,1,3,3,1,3,1,1,1,1,2,3,4,4,1,1,1,5,8,2,2,2,9,2,1,3,2,3,2,1,4,1,3,2
STZ18_down,2,1,3,3,1,3,2,1,2,3,1,1,4,5,4,3,1,5,2,7,2,4,2,7,1,3,3,3,2,1,2,1,2,4
MCD4_up,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCD4_down,2,1,3,3,1,3,1,1,2,1,3,3,4,4,2,1,1,9,4,3,2,4,3,3,1,9,2,7,2,1,4,1,2,2
MCD8_up,2,1,4,3,4,3,2,1,1,2,1,1,1,2,2,2,1,4,2,3,2,3,2,3,1,2,6,2,3,1,2,1,3,3
MCD8_down,2,1,3,2,1,2,1,1,2,1,3,3,4,4,2,1,1,7,3,3,2,3,3,3,1,7,2,7,2,1,2,1,2,2
Pten_up,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,1,2,3,2,3,1,2,1,2,2
Pten_down,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HF30_up,2,1,2,7,1,6,2,2,5,1,4,5,5,4,2,2,1,11,6,2,2,6,4,2,1,4,2,2,2,1,18,1,5,3
HF30_down,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WTD_up,2,1,17,3,28,2,16,11,10,1,6,8,2,1,2,1,1,5,6,2,2,2,3,2,1,2,3,2,2,1,5,1,38,2
WTD_down,2,1,2,4,1,4,2,1,4,2,2,3,3,7,2,2,1,6,3,4,3,5,2,4,1,2,3,2,2,1,3,1,2,9
