Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	26	41.269841269841265	3.123981848619222E-7	CLSTN3, MMP9, MRAS, CSPG4, SRC, GOT1, FAT1, FAM129B, FGL1, MSN, LPL, KIF12, ABCB11, STXBP1, DPYSL2, THY1, C8B, PSMC6, SNED1, H2AFY2, FABP4, APAF1, IGFBP2, HPGD, PON3, PYGB	62	2646	18520	2.935166898300539	4.560910198947443E-5	4.560910198947443E-5	3.713097166069268E-4
UP_KEYWORDS	Disulfide bond	20	31.746031746031743	1.2999805464192386E-5	LPL, SCUBE1, MICU2, MMP9, MET, CSPG4, ACKR2, IGF1, PDIA5, GRIA3, CPN1, THY1, C8B, SNED1, FAT1, GALNT18, FGL1, IGFBP2, CD302, PON3	63	2199	20793	3.001797353775525	0.0018961839019954185	0.0018961839019954185	0.015450220260371239
GOTERM_BP_DIRECT	GO:0042493~response to drug	10	15.873015873015872	6.249430609611817E-5	LPL, ABCB11, MMP9, GNA12, MET, FABP4, SRD5A1, DPYSL2, IGFBP2, SRC	60	528	17535	5.535037878787878	0.03872777323223531	0.03872777323223531	0.09291526493114821
UP_KEYWORDS	Glycoprotein	18	28.57142857142857	1.1122001745440266E-4	LPL, CLSTN3, ABCB11, MMP9, MET, CSPG4, ACKR2, GRIA3, ABCA2, CPN1, THY1, C8B, SNED1, SLC7A2, IGFBP2, CD302, ROS1, PON3	63	2123	20793	2.79833120247628	0.016107883474082763	0.00808663859895642	0.13211393316692188
UP_KEYWORDS	Signal	23	36.507936507936506	2.153477224023581E-4	HSD17B11, LPL, CLSTN3, SCUBE1, MMP9, MET, CAR12, CSPG4, IGF1, PDIA5, GRIA3, CPN1, THY1, C8B, SNED1, TMEM154, FAT1, APOF, FGL1, IGFBP2, ROS1, CD302, PON3	63	3420	20793	2.219618490671122	0.03095492709341663	0.010426646136695417	0.2556582741653268
UP_SEQ_FEATURE	signal peptide	19	30.158730158730158	5.651260865854328E-4	HSD17B11, LPL, CLSTN3, MMP9, MET, CSPG4, IGF1, PDIA5, GRIA3, CPN1, THY1, C8B, SNED1, APOF, FGL1, IGFBP2, CD302, ROS1, PON3	43	1586	7976	2.22211795067304	0.12439672248164257	0.12439672248164257	0.7245701716004915
UP_KEYWORDS	Phosphoprotein	24	38.095238095238095	9.128073451777392E-4	ABCB11, MICU2, MET, CSPG4, STXBP1, HAL, ACKR2, GRIA3, ABCA2, DPYSL2, SRC, SHANK3, GCH1, THY1, C8B, GOT1, SLC7A2, FABP4, FAM129B, MSN, GADD45A, ROS1, PON3, PYGB	63	4047	20793	1.9572875851600833	0.12482440634488834	0.032783271059803165	1.079570712499156
UP_KEYWORDS	Secreted	11	17.46031746031746	9.779347669337567E-4	HSD17B11, LPL, C8B, SNED1, APOF, MMP9, IGF1, FGL1, IGFBP2, PON3, CPN1	63	1045	20793	3.4741854636591474	0.1331144653469618	0.02816541311729792	1.1561869732958807
GOTERM_BP_DIRECT	GO:0051384~response to glucocorticoid	5	7.936507936507936	0.001042453807258314	GOT1, IGF1, FABP4, IGFBP2, CPN1	60	133	17535	10.986842105263158	0.4827218003189214	0.2807794499035232	1.5394080390380926
UP_KEYWORDS	Nucleotide-binding	12	19.047619047619047	0.001716299252735848	KIF12, PSMC6, ABCB11, MRAS, GNA12, MET, ABCA2, APAF1, ARL5B, ROS1, SRC, GCH1	63	1327	20793	2.9846054473032617	0.22181809581568113	0.04093762261917033	2.0210103715557537
