,SYMBOL,ENTREZID
1,Wdhd1,305827
2,Cyp7a1,25428
3,Tmem63a,289318
4,Mfsd6,301388
5,Sulf2,311642
6,Unc119,29402
7,Ptprm,29616
8,Dmtn,361069
9,Trhde,366894
10,Fmo1,25256
11,C8b,313421
12,Pxmp2,29533
13,Dnajc12,619393
14,Igf1,24482
15,Igfbp2,25662
16,Gch1,29244
17,Tmed5,289883
18,Met,24553
19,Polr2h,498109
20,Pon3,312086
21,Zfp507,292816
22,St6galnac6,407765
23,Aldh6a1,81708
24,mrpl9,310653
25,Opn3,498289
26,Cdc26,366381
27,Ppp2r5e,299147
28,Hal,29301
29,Mtfmt,315763
30,Amdhd1,299735
31,Nubp1,287042
32,Nipal1,289594
33,Hsd17b11,289456
34,Cldn2,300920
35,Got1,24401
36,Ttc33,294774
37,Slc7a2,64554
38,Cpn1,365466
39,Apof,500761
40,Gpr88,64443
41,Ackr2,140473
42,Eif3m,295975
43,Slc25a32,315023
44,Lztfl1,316102
45,Rnf139,315000
46,Mbip,362740
47,Cep57,315423
48,Fbxo33,314157
49,Mrpl50,362517
50,Fam204a,308004
51,Gabpa,363735
53,Slc38a9,310091
54,Tbpl1,689030
55,Cops3,287367
56,Zbtb6,366029
57,Gskip,362778
58,Tmem126b,293114
60,Lrif1,310775
61,RGD1307947,314788
63,Cops4,360915
64,RGD1305938,310362
65,Rpf1,499725
66,Cript,56725
67,Mrpl46,293054
68,Morn2,500606
69,Hdac1,297893
70,Arl5b,364788
71,Sypl1,366595
72,Psmc6,289990
74,Nudt21,291877
75,Mynn,361924
76,Orc3,313138
77,Supv3l1,294385
78,Slc16a7,29735
80,Mob4,171050
81,Smim15,100359861
83,Jagn1,502872
84,Tmem106b,312132
85,Klhl15,314111
87,Ap4s1,366618
88,Snx14,315871
89,Nxt2,315352
90,Cops2,261736
91,Drg1,305470
92,Dpy19l4,297824
93,Mgst3,289197
94,Oxnad1,306270
95,Tax1bp1,246244
96,Thoc7,305714
97,Ryk,140585
98,Gtpbp10,312054
99,Lin7c,60442
100,Engase,303702
101,Hemk1,300989
103,Echdc2,298381
104,Polm,289757
105,Abcc6,81642
106,Efcab11,500705
107,Apaf1,78963
108,Smg9,365215
109,Lpl,24539
110,Rasef,298138
111,Prkcd,170538
112,Msn,81521
113,Sh3kbp1,84357
114,Fam129b,362115
115,Sgcb,680229
116,Stxbp1,25558
117,Abca2,79248
118,Snap25,25012
119,Rcan3,362627
120,Gria3,29628
121,Fabp4,79451
122,Mmp9,81687
123,Dpysl2,25416
124,Pygb,25739
125,Tmem154,361972
126,Gins4,290842
127,Stmn2,84510
128,Src,83805
129,Fat1,83720
130,Slain1,361087
131,Lbr,89789
132,Imp3,315697
133,Twistnb,362728
134,Sowahc,503306
135,Inhbb,25196
136,Rsl24d1,363099
137,Taf9b,171152
138,Blmh,287552
139,Rpl34,362041
140,Rpl10a,81729
141,Ifnar1,288264
142,Chac1,362196
143,Dcun1d5,315405
145,Lsm3,297455
146,Brix1,294799
147,Prmt5,364382
148,Tiprl,360869
149,Cct2,299809
150,Armc10,296758
151,Slc25a3,245959
152,Uba2,308508
153,Cct4,29374
154,Umps,288051
155,Eif3a,292148
156,Dis3,306103
157,Rbmx2,367930
158,Rbbp8,291787
160,Pigw,378774
161,Panx1,315435
162,Itgb1,24511
163,Farsb,301544
164,Psmd12,287772
165,Eif2s1,54318
166,Phax,286917
168,Rabl3,360720
169,Mrpl19,297372
170,Gnl2,362593
171,Dctn6,290798
172,Usp16,288306
174,Trmt5,362754
175,Tmem184c,291946
176,Thg1l,303067
177,Plekha1,361659
179,Srrd,288717
181,Rars,287191
182,Vapa,58857
183,Glrx2,114022
184,Pak1ip1,361232
185,Xrn2,362229
186,Nras,24605
187,Txndc9,280671
189,Csgalnact2,297554
190,Hccs,317444
191,Commd2,688478
192,Usp1,313387
193,Ift74,313365
194,Thumpd3,500288
195,Ngdn,305887
196,RGD1308430,361038
197,Rpf2,294436
198,Dctd,290741
199,Eif3f,293427
200,Dph3,680594
201,Fkbp7,295672
202,Myl12a,501203
203,Otud4,307774
204,Nup54,53372
205,Kif12,313254
206,Npepl1,311671
207,Cspg4,81651
208,Fam160a2,293343
209,Cabin1,94165
210,Gadd45a,25112
