NAME	W32_WT1	W32_WT2	W32_WT3	W32_KO2	W32_KO3
A1BG	1.621885605	1.011682414	3.006719921	9.560732064	1.259301073
A1CF	12.61726973	12.90495549	12.94118263	12.39176804	12.18733639
A1I3	19.49640797	19.79592865	19.5358758	17.3418683	17.115507
A2M	11.56528739	11.01973318	8.60384733	11.89607749	12.45870241
A3GALT2	4.637746989	4.269983026	4.651227238	6.240987073	7.352064626
A4GALT	0	0	0	0	1.627931827
AA926063	4.300118853	6.380541449	5.365042597	3.382336896	3.330512982
AAAS	7.293083313	7.585391268	7.347480096	7.374893496	7.536660319
AACS	5.861426551	5.380259851	6.749072784	6.939853284	6.592085089
AADAC	10.36219442	10.64896522	10.91080204	10.84377431	10.54068569
AADAT	12.26539178	12.26970995	12.77916573	11.79348556	11.4611
AAED1	9.217333317	8.611925663	8.655116691	8.24540637	8.443173813
AAGAB	7.961701811	7.7646301	7.86562535	7.787756404	7.907108543
AAK1	8.90978798	8.85927083	9.149770865	8.745407807	8.772342936
AAMDC	7.741274601	8.067577664	8.084464597	7.505382022	7.044579456
AAMP	11.58591196	11.51511607	11.41228393	11.28867813	11.36221209
AANAT	2.630970595	2.340574818	0	0.836436669	1.921282022
AAR2	8.716680991	8.677849734	8.676543531	8.612722053	8.513640867
AARD	2.630970595	2.340574818	1.003843787	0	0
AARS	12.88752331	12.08868174	12.07039634	12.42223715	12.69855775
AARS2	8.741405686	8.358589873	8.197475696	8.267643579	8.225316631
AARSD1	8.526559326	8.720182888	8.607570467	8.577552131	8.548967179
AASDHPPT	9.849391286	9.776460988	9.780807815	9.486832023	9.401508569
AASS	12.87660347	12.98760897	13.22396771	11.96828859	11.52901743
AATF	8.244675848	8.142129021	8.231653425	8.335881927	8.40215501
AATK	5.726402368	6.562181559	6.236393954	6.115827861	6.199229977
ABAT	11.99753702	11.87188767	11.90021816	11.79985751	11.29937338
ABCA1	12.83618333	12.98417505	12.85923018	12.66110642	12.29088422
ABCA13	3.048270431	1.600518125	3.592001638	2.864943753	1.921282022
ABCA17	3.218948757	4.481652938	4.592320785	2.864943753	3.226937666
ABCA2	10.80738557	10.69656593	10.15995547	12.31310068	11.54828098
ABCA4	5.608475696	5.77773094	5.865526332	6.620859923	6.974355735
ABCA5	7.654670698	7.730519665	7.735561696	8.180473289	8.271599505
ABCA7	6.376289173	6.723488725	6.562184752	6.79427037	6.759187828
ABCA8A	12.28143716	12.61455583	12.74724591	12.52600308	11.93368903
ABCB10	9.147694469	9.256852318	9.180091598	8.724123744	8.642506875
ABCB11	14.87421554	14.23218995	14.28481905	13.72073106	13.90426533
ABCB1A	9.760603947	9.195658489	9.393528315	10.53325254	10.96758156
ABCB1B	9.269264441	9.292360253	8.694159302	13.35304926	13.41127579
ABCB4	13.0211744	10.99048572	11.70551141	12.20874074	12.18063817
ABCB6	10.33228012	10.13699232	10.1395275	9.638159976	9.64698457
ABCB7	10.09937921	10.29471534	10.33746775	9.669118085	9.582879024
ABCB8	8.501964723	8.751136997	8.585086143	8.77933838	8.889334292
ABCB9	3.858528868	4.414488739	5.136741589	3.843560176	4.089893894
ABCC1	7.088046963	7.023090631	7.007617538	8.39768102	8.857174687
ABCC10	7.796250861	8.034408767	8.073737979	7.872418763	7.747843244
ABCC12	1.027780542	1.011682414	1.003843787	0	2.373339817
ABCC2	14.15618814	14.0709048	13.90580583	13.64798604	12.80241841
ABCC3	7.031887523	7.577737046	7.8963883	10.51477863	10.07188427
ABCC4	8.326324493	8.474416143	8.378341633	8.589370958	8.975744738
ABCC5	7.447032192	8.162740479	8.131771227	8.300369638	8.46609992
ABCC6	12.76798501	12.74969864	12.81442728	12.75033589	12.32714204
ABCC8	6.726932068	7.011773897	6.721849952	7.924666288	7.074725419
ABCC9	8.695145824	9.39610123	9.440208179	9.930696248	10.43643854
ABCD1	10.29697479	10.46308525	10.19254612	10.11368848	9.719138336
ABCD2	4.139319119	4.976722451	4.592320785	6.60929729	5.322877367
ABCD3	13.22761415	13.04788848	13.51955287	13.35229079	13.06426925
ABCD4	6.530162797	7.067490216	7.029986272	7.238941178	7.052175207
ABCE1	11.35422282	11.20689645	11.27270319	11.10791092	11.40770024
ABCF1	10.54283866	10.21184005	10.30458748	10.38093268	10.65421796
ABCF2	10.21989612	9.925621981	10.07241297	9.96965096	10.19363986
ABCF3	9.988671671	10.10273444	10.04521703	9.62098948	9.769540835
ABCG1	8.890968421	9.447403675	9.035568688	8.750680119	8.735076061
ABCG2	8.020604502	7.881152478	7.207297615	9.727773808	9.593329265
ABCG3	11.32355634	10.70888181	11.37345009	10.54088073	10.97059091
ABCG3L1	4.139319119	4.269983026	3.9140574	5.359919979	4.851796438
ABCG3L2	4.807922358	4.344044406	5.216923765	5.516682012	4.780423032
ABCG3L3	5.545688836	6.251781855	6.515387855	8.14086601	7.475832907
ABCG3L4	0	0	2.328073247	4.871983371	3.966695598
ABCG4	1.621885605	1.600518125	1.003843787	2.050514694	4.203394434
ABCG5	8.871900117	8.577798444	8.002000769	6.356149727	5.878788928
ABCG8	6.120319232	5.482177868	5.25540336	3.993407376	3.602929464
ABHD1	9.958861709	9.149934165	9.649719469	9.921375523	10.01277397
ABHD10	7.131451776	7.630482916	7.177549187	7.905885385	7.625894649
ABHD11	7.088046963	7.530938786	7.531197701	7.06363454	7.345897538
