NAME	W48_WT1	W48_WT2	W48_WT3	W48_KO1	W48_KO2	W48_KO3
A1BG	4.741961839	2.848772191	0.937743025	2.751874004	5.613700954	3.402850338
A1CF	12.71633613	12.64135599	12.22722813	12.61512314	12.56073552	12.49732299
A1I3	19.19519124	19.64657836	19.59052004	18.48596973	18.69612771	18.86624763
A2M	8.630621587	7.640417377	8.627873413	12.45190522	11.01368851	10.19301243
A3GALT2	4.85793649	3.365385341	4.201246083	3.992168379	4.699449428	5.158515005
A4GALT	0	0	0	0	0	0
AA926063	5.968045394	5.256377463	6.249320089	5.236869817	5.320923936	5.206077542
AAAS	7.301907592	7.414240861	7.621489651	7.509813986	7.39129364	7.313059903
AACS	6.553929204	6.602290412	5.49010163	6.605307311	7.490828904	7.717645943
AADAC	10.6207236	10.6208751	10.76529066	11.07758063	11.25281799	10.77707203
AADAT	12.76682234	12.71197915	12.59593181	12.5194239	12.76570617	12.48803329
AAED1	8.80331022	8.636797494	8.590670383	9.036895223	8.993325541	8.794199623
AAGAB	7.769990255	7.8424083	7.895557502	8.01745535	8.02134186	8.039844213
AAK1	8.717630438	8.868280076	8.886955733	8.775039833	8.835022694	8.899214135
AAMDC	7.842178719	7.996381283	7.965922459	7.998165263	7.923786828	7.750097443
AAMP	11.44242059	11.37798393	11.54602765	11.31695348	11.4088917	11.34890615
AANAT	1.084039913	1.024304337	0.937743025	1.720000904	0.999485134	1.763086406
AAR2	8.770386658	8.65171047	8.534784546	8.628011572	8.494827965	8.516176009
AARD	0	0	0.937743025	0	0	0
AARS	12.65000937	12.29879078	12.66975004	12.66439435	12.59562592	12.73626922
AARS2	8.105338822	8.135494537	8.348785106	8.145713289	8.251638895	8.303058708
AARSD1	8.610093007	8.848999602	8.614455777	8.406923535	8.534248238	8.685138721
AASDHPPT	9.849765612	9.861934519	9.793168037	9.703652561	9.785240879	9.716607621
AASS	12.6572813	12.32286578	13.12624351	12.8196603	13.21328931	13.13873348
AATF	8.281837728	8.324177469	8.809587386	8.252682047	8.416825612	8.147305258
AATK	6.536629019	6.047465042	5.732951983	6.125795397	5.553580857	6.385450083
ABAT	11.92079801	12.12934559	12.0532373	12.02379847	11.96907623	12.10577409
ABCA1	12.81021223	12.96818048	12.80564773	12.75313327	12.80833644	12.93460329
ABCA13	2.124292613	2.625245201	1.50134152	2.751874004	4.168952322	4.244640628
ABCA17	4.153761831	3.365385341	4.521848587	3.64060134	4.320949692	4.708157782
ABCA2	10.74549381	10.38690578	10.63513649	10.70774368	10.39771454	10.81303593
ABCA4	5.203156313	6.134971479	6.503378354	5.478743949	6.188808756	6.138175773
ABCA5	7.678307784	7.431626381	7.465824379	7.536802609	7.356528371	7.140193168
ABCA7	6.71639658	6.539532233	6.044450381	6.499531476	6.856959961	7.345279757
ABCA8A	12.80231679	12.32577446	13.60060809	13.05235466	12.96114324	12.88751695
ABCB10	9.017987217	9.187673296	8.806640657	8.7598483	8.613682557	8.899214135
ABCB11	14.77729348	14.29055895	13.94732878	14.73870027	14.82402827	14.59249883
ABCB1A	8.386937385	9.474401849	10.0638509	9.086448329	9.680209751	8.104021533
ABCB1B	11.35197527	11.76800855	13.20612563	11.72746357	13.08908262	9.551507405
ABCB4	11.44474106	11.35993567	11.95085941	11.32019349	11.72986503	11.31473549
ABCB6	10.14914217	9.873112475	9.752402368	9.836299286	9.626505271	9.636417958
