,advanced_rep1,advanced_rep10,advanced_rep11,advanced_rep12,advanced_rep13,advanced_rep14,advanced_rep15,advanced_rep16,advanced_rep17,advanced_rep18,advanced_rep19,advanced_rep2,advanced_rep20,advanced_rep21,advanced_rep22,advanced_rep23,advanced_rep24,advanced_rep25,advanced_rep26,advanced_rep27,advanced_rep28,advanced_rep29,advanced_rep3,advanced_rep30,advanced_rep31,advanced_rep32,advanced_rep4,advanced_rep5,advanced_rep6,advanced_rep7,advanced_rep8,advanced_rep9,mild_rep1,mild_rep10,mild_rep11,mild_rep12,mild_rep13,mild_rep14,mild_rep15,mild_rep16,mild_rep17,mild_rep18,mild_rep19,mild_rep2,mild_rep20,mild_rep21,mild_rep22,mild_rep23,mild_rep24,mild_rep25,mild_rep26,mild_rep27,mild_rep28,mild_rep29,mild_rep3,mild_rep30,mild_rep31,mild_rep32,mild_rep33,mild_rep34,mild_rep35,mild_rep36,mild_rep37,mild_rep38,mild_rep39,mild_rep4,mild_rep40,mild_rep5,mild_rep6,mild_rep7,mild_rep8,advanced1,advanced2,advanced3,advanced4,regular1,regular2,regular3,regular4,W4_WT3,W4_WT2,W4_WT1,W4_Lep3,W4_Lep2,W4_Lep1,W8_WT3,W8_WT2,W8_WT1,W8_Lep3,W8_Lep2,W8_Lep1,W16_WT3,W16_WT2,W16_WT1,W16_Lep3,W16_Lep2,W16_Lep1,W32_WT1,W32_WT2,W32_WT3,W32_KO1,W32_KO2,W32_KO3,W48_WT1,W48_WT2,W48_WT3,W48_KO1,W48_KO2,W48_KO3,CM1,CM2,CM3,WT1,WT2,WT3
C8B,2.71350073169393,2.19251192103797,2.35207876513959,2.23042880531919,2.3199638495759,2.33840526180237,2.38620450973858,2.2539554962451,2.30260098450404,2.64670885734877,2.55403161526753,2.54481405107623,2.24582809361764,2.63160289765427,2.72034779336333,2.61314019039298,2.61454741035472,2.30012742255521,2.45974234475072,2.67613751961056,2.61268177285117,2.28615043348077,2.39077838182967,2.85579223713468,2.3965792875939,2.32659448355497,2.47953234747144,2.49615270761522,2.40946613973185,2.29619969594804,2.58186029891882,2.14046828439535,2.44334636830443,2.38245500680272,2.41270091916677,2.45120006629863,2.59935176204469,2.39218525390722,2.55936980143531,2.58166354664275,2.52157710708713,2.73513037389598,2.48393206894182,1.99396392306425,2.64034876557083,2.4307746876905,2.68141765597797,2.54952837999327,2.54544926045979,2.54849575082709,2.47335239115515,2.35996526391713,2.42306228731509,2.62392117120921,2.4498444710878,2.84689206553825,2.25219701208745,2.63703951469649,2.93626701374944,2.83753967580758,2.4458315585925,2.29251606720314,2.61435180641227,2.41172769299631,2.48241398413402,2.55412353473943,2.61432993345133,2.51411371109322,2.6302388263378,2.48095636784229,2.43715954575838,1.70400222417742,1.02623771690204,1.15735655595935,1.44978271976822,2.24833499613884,2.19340585896096,2.03949694913999,2.05036228955841,1.89124977288675,1.94309728750883,1.96008393677323,1.88325551956528,1.85638134268419,1.87856376167938,1.99477686066623,1.97678286058925,1.95462230329924,1.90655685549081,1.81803985875982,1.89520392455147,1.97540243352205,1.93211285189198,2.02547103308403,1.7757726530954,1.84286701175403,1.63116841555163,1.95465153324612,1.90999902938593,1.92819769282436,1.93037789341623,1.91678347970186,1.92677278275624,2.03385190565698,1.93995993226007,1.91182523568411,1.9606278045948,1.91616242225795,1.94531950188602,2.29170885072859,2.31976883839974,2.36042764266254,2.42416841213358,2.08953443066,2.329219996208
APOM,2.63695726379964,2.58896210209455,2.52772045255693,2.68366609039228,2.40283653186415,2.61246166462971,2.54672085455272,2.62560552871773,2.58815876501629,2.66607793986434,2.65978305292528,2.66436107691155,2.70217572218975,2.70273678492499,2.60587082441407,2.8098667714453,2.486539275768,2.66711538085814,2.58015056804113,2.70920469318025,2.7516247847182,2.44142501982844,2.27338034843266,2.88557686286915,2.38102489528088,2.54123117742075,2.40458395425491,2.81660570082275,2.48510705317155,2.60848767837989,2.80510049665415,2.71024119235819,2.72228683621288,2.67244323003263,2.62455140092722,2.62732947218469,2.74018987980579,2.71149884480458,2.6032731037295,2.74872821599894,2.61717288212393,2.80799316294988,2.75506425674127,2.78520097852019,2.77652742428539,2.44408244345664,2.72884528974394,2.73913191915937,2.71638026647406,2.70858418762123,2.83574660747512,2.51615726939505,2.84001824890788,2.83791179176569,2.56554239138813,2.76167479780014,2.82935018425902,2.75334419360011,2.73757776459269,2.80235768675061,2.68325399862864,2.93995437381066,2.78446452360323,2.69465695437618,2.85628025900594,2.42535891994178,2.72005494664694,2.91006641501321,2.77245358163772,2.70412526454084,2.78675488258945,1.31244411532169,1.28241711695961,1.26899482167859,1.2607898396846,1.63885690866762,1.68108622312999,1.71071671115296,1.70141450240339,1.47146321752626,1.48750946699932,1.61747656407939,1.54830053556124,1.52003464678457,1.61466703153799,1.59327117864771,1.51524606960284,1.56001687967679,1.53814317789182,1.50983997910494,1.54758188199719,1.57514548076866,1.5280960437857,1.52519109468065,1.52823596542095,1.40882425819007,1.18336417304414,1.8433933512957,1.6013927799031,1.49510175447224,1.42880710767593,1.5368834171484,1.48335192896763,1.63304757424172,1.51944044632767,1.41636503029568,1.56146900736832,1.59908087278169,1.55566538524727,1.29883092810473,1.13991852781652,1.11505863194928,1.1343249404724,1.03726176226787,0.994383739675931
CRLF1,-1.21869444145048,-1.092718329989,-1.16175054968129,-1.25651788071286,-1.26729738055404,-1.27165581292922,-1.22132258875352,-1.34416135347612,-1.21166369956049,-1.13003020220441,-1.26828657510999,-1.18523835698964,-1.20955824632871,-1.23242935502178,-1.23386187852777,-1.17527255343504,-1.02759254036299,-1.32385371628512,-1.28860317847248,-0.989116066134412,-1.22566384354454,-1.16319412004108,-1.26761359829073,-1.0187797818459,-1.14712976158823,-1.36442279558522,-1.19066790249521,-1.11842308637918,-1.2760830590794,-1.24061609956631,-1.20015885560843,-1.02892018138854,-1.2452832013801,-1.18867661610257,-1.06848366895953,-1.11728557955055,-1.17400310064265,-1.1498423241733,-1.11128684944404,-1.07508027871803,-1.29887738838613,-1.13918899156423,-1.06784262991218,-1.21074997050383,-1.11081277964747,-0.976728453283061,-1.19611249231038,-1.00667606553357,-1.24633784264833,-1.09558413338494,-1.23597147713665,-1.14841434854162,-1.16372951010562,-1.17602981032375,-1.11829770950679,-1.24187644972311,-1.19482868719955,-1.07906986382481,-1.15770125280983,-1.32787625797007,-1.1802544837043,-1.14095628691546,-1.33907092046889,-1.00108712717763,-1.14146795003079,-1.44011877524768,-1.22574568531002,-1.08084425370796,-0.943046879671573,-1.15587726216523,-1.26406393812368,-1.15406449269513,-1.22336998165371,-1.22328369572262,-1.21720156190647,-1.17086067242036,-1.16337527896579,-1.13367461160626,-1.15199827310768,-1.79232143536087,-2.02544210960469,-2.00158984936603,-2.09534891429083,-1.72453935833892,-1.64294250007717,-1.96237374148481,-1.68916316004874,-1.54336823680867,-1.79563140747926,-1.43007544497009,-1.63293520400812,-1.5734822844676,-2.26285484569579,-1.86060659275447,-0.657801892410727,-1.99556566180424,-1.6532021952365,-1.65065437917459,-2.0868166226809,-2.08945426654112,-2.15147726679027,-2.10410413553799,-2.15144531150773,-1.92703330243356,-1.43017779033709,-1.77337601030731,-2.20574719053417,-1.65041937999073,-1.72704671739734,-1.90720934470474,-2.10379638646362,-2.65121548628534,-2.32941912895734,-2.01811649492268,-2.20540000091168
RNASE4,2.58811945244978,2.60561326072741,2.64139007264713,2.45409919716992,2.57402507474537,2.64544822741804,2.71573846071985,2.61280179686665,2.07865967533311,2.30039281659673,2.61582120193621,2.49653747019284,2.58590487775849,2.57516063057331,2.72355694732032,2.82903534737909,2.64706930247224,2.58986997216145,2.55169468968563,2.7471971258399,2.65806142055478,2.63116051095905,2.48192559095174,2.80595457269789,2.53572687546103,2.55321139550187,2.53673242680775,2.72897054908915,2.44649532996627,2.12700812150742,2.58170987626643,2.5295310826521,2.48890960903391,2.69498982105634,2.69065388432293,2.60632969058532,2.64801210110241,2.58448573598702,2.62691090943252,2.58965312632106,2.16522214964014,2.57712097704225,2.55761223678209,2.60755109116585,2.77308526278904,2.62837945901944,2.71483049292706,2.43514398227564,2.65542833588499,2.5760573762461,2.47592889878096,2.56619536839575,2.54877449877213,2.62083964587524,2.36068727235203,2.58933970806864,2.48176556467851,2.61810776551349,2.79735382715391,2.61347535548745,2.65770271180001,2.58004603415511,2.76242061823785,2.40836673174678,2.52859562179251,2.41764099423182,2.56472656438936,2.6236332385009,2.6459792101991,2.52277698755065,2.75783044240077,2.38710294230812,2.36908829273593,2.43731783257241,2.5247960276479,2.67873674447061,2.59619640144465,2.58588999390825,2.59233074014007,2.25201616941448,2.28591381131777,2.32400606031341,2.34002894791589,2.18603182850994,2.36840382164051,2.28491726507201,2.32685496757386,2.29579056349127,2.02476197314189,2.24397219132373,2.3097565568769,2.33329646554452,2.24339170748933,2.23360432092464,2.11274648975613,2.02886808316497,1.74217581329108,2.50890452733263,2.31051692297122,2.17282016314205,2.27038655326225,2.29357464031822,2.25222122687154,2.35850234093349,2.34785639836347,2.34318440387558,2.20767229496154,2.16818694743344,2.15452359058958,1.67804251718168,1.77171003147239,1.71034913418176,1.60949810240725,1.59030753025379,1.62849772012002
SERPIND1,3.07682421466678,2.612234067805,2.85555194420603,2.86134919991885,3.14349015582989,3.01623639111899,2.77901131332501,3.05458910464141,3.01122072688984,3.10255296225921,3.10775189152261,3.15295499747093,2.75128395270198,3.03401916245925,3.21306224320882,3.01098669553684,2.92483942950684,2.96595146518874,3.02429436963063,3.15281793935794,2.94327360027931,2.7159064305737,3.26117662589727,3.06809738996432,2.81640938144419,2.84048235733515,3.01174244404357,2.83519419256942,2.9549882480545,3.07094375924262,3.0670796471681,3.12298324830329,3.15916779573097,2.95182559501254,3.14284926443477,3.10696530762268,2.95075808776891,2.91643137864786,2.81945013621962,3.08018793325422,3.20447257004736,3.21272057928187,3.09624239083263,3.20484436619096,2.77909627162243,3.09762076027011,3.00971260404283,2.97952011262105,3.15368309235715,2.84336529869853,3.03621205535892,2.87882697893335,3.01078304324007,3.11121964967597,3.10607773267611,3.17389317029553,2.70720242278961,2.87253359465343,3.08906105259449,3.12673790095129,2.95133720181374,2.83136720754414,2.78495235356554,3.05296556820328,3.09724038849872,3.10147543145926,3.20379615713643,3.08973104862876,3.08383844516847,3.06652711303339,3.03540480649768,2.29001173297425,2.27777667174311,2.33201054208494,2.26448949269595,2.40621311227062,2.44225516716791,2.40418729053839,2.41614024404605,2.10918711903141,2.09261098761558,2.12163238863415,2.05024115463269,1.96322077839929,2.0392769128781,2.00661188092893,2.09384279334869,2.04245368599329,2.00322547711205,2.0176769619123,1.9971900883002,2.06114928341666,2.10235573584127,2.05100552242554,1.79271286595047,1.85557766067887,1.59076492527864,2.11052528750664,2.04874256823997,2.00400793803882,1.96045255002644,1.97343389912209,1.87704709298192,2.04728597564836,2.01317081407994,1.9805294387803,1.97184286311152,2.04749035060327,2.07976304079636,2.37140787603926,2.41554448210907,2.36815125403468,2.3844888785682,2.31360051716012,2.122829829848
HPN,2.41999579116444,2.37103047892524,2.28141975785506,2.31106241608085,2.2511122873921,2.27184863385703,2.37604542903105,2.20745053253652,2.05248739752635,2.22431604404553,2.38723476600938,2.1831727532943,2.24839793815674,2.45186110603157,2.36346120916303,2.41014319596533,2.39340266975667,2.33461301072866,2.22225881595298,2.4445297856389,2.43707956649818,2.15824298381196,2.23657369411892,2.35586505307245,2.28951587371024,2.20056814073693,2.12139326975194,2.34213739835023,2.14338189761224,2.09171522205568,2.35899649952719,2.49389779841747,2.26999183596931,2.31645331787542,2.5316108409901,2.35191654937457,2.39383895399434,2.49782370794315,2.46319882268599,2.4289953943989,2.42074084618354,2.43968415197182,2.39309107133627,2.45613555481117,2.42358780913156,2.59441867152287,2.36021716913369,2.45668563845149,2.35272460617617,2.37162058441052,2.34422694489929,2.39016537111836,2.48501734204965,2.45344022105322,2.38022516486839,2.56350784668122,2.41986964432206,2.3770159950695,2.4573726689452,2.50439138795062,2.42674199257547,2.37334653175781,2.3917192446575,2.32514341171148,2.37050376451016,2.24963920626993,2.4974159373074,2.52791594019437,2.5384968148683,2.32325046875677,2.31028473407774,1.63375317274234,1.59521139734621,1.60469064564641,1.63689799686691,1.67531113763513,1.75258043899291,1.7324802088121,1.84616047073335,1.44508536922304,1.43444196572267,1.46248090633086,1.55937288482576,1.52615303794649,1.52743726246724,1.53362367725,1.54663321733989,1.48531487307487,1.48474706427292,1.54461244751032,1.51346153757586,1.56539946135827,1.49913198113402,1.54898752514812,1.38755343236255,1.45347760055687,1.27379386169331,1.81079379304591,1.61443726664574,1.72933688522411,1.70686273099099,1.68290264426841,1.7223791764106,1.74014026496838,1.70313808602761,1.7265380623409,1.68731079693313,1.6728050603511,1.61471989242907,1.67456536430278,1.653851866565,1.66323299295122,1.6286417814133,1.57539920916187,1.57623273953434
HEMGN,-1.84825548554451,-1.90718607789477,-1.86628075357305,-1.90238939192425,-1.83616110895218,-1.87840012432286,-1.87967158370342,-1.94413394303802,-1.97110200465254,-1.79482157705801,-1.85093447442188,-1.85470576842173,-1.86001673813862,-1.82659577567002,-1.92415083257778,-1.8783390830971,-1.87846443452866,-1.92017013544094,-1.87632654388998,-1.87225435080897,-1.85385069854872,-1.84126385350704,-2.00382868685575,-1.94485289897549,-1.93031732309656,-1.86163751884051,-1.85993387972318,-1.85452119379695,-1.78473567149903,-1.97740299991073,-1.87130132249585,-1.87869781330026,-1.86380823590661,-1.41864026705521,-1.81813967640259,-1.70495544850128,-1.84276081483931,-1.85409169647129,-1.71773790569108,-1.80122862760156,-1.85951884531786,-1.88281574241156,-1.87196732386002,-1.83740941873416,-1.79697986227255,-1.83666922340595,-1.85530530262984,-1.88462259655021,-1.80066400023708,-1.78102806322431,-1.86824518370595,-1.81043260646136,-1.92756711550344,-1.90056894624579,-1.842356519475,-1.79968416076614,-1.89438635275332,-1.83042967893487,-1.84547937044921,-1.84717187886693,-1.87896537624335,-1.86932452076976,-1.95891393063382,-1.92952972293152,-1.91063895200644,-1.86355639404905,-1.80509840438422,-1.81610050772417,-1.81357210056962,-1.7669184960972,-1.88216629134634,-1.28820396882728,-1.28362566554361,-1.26147572337632,-1.25938780315979,-1.24592491032231,-1.22549835541659,-1.22762571840229,-1.2038972222333,-0.304666270791302,-0.36724429495415,-0.348436943244203,-0.138732987072512,-0.306410174279652,-0.245666200248129,-0.436314017720214,-0.369256463717218,-0.241526873661097,-0.849309273069614,-0.30314604487434,-0.0151671721839437,-0.467872671793945,-0.505636710506327,0.0542305245654597,-0.570607382948979,-0.564726988380823,-0.831084292764828,-1.01325133868693,-0.806568711414733,-1.38846545293019,-1.0927528096681,-1.17417714562282,-1.27565596602078,-1.38576754159247,-1.24283446630151,-1.24510945668631,-1.01282358399149,-1.27551280932981,-0.572253334583815,-0.999337662994284,-0.983102918080592,-1.15320358477366,-0.926142301654811,-1.25089876217627,-1.06163518250995
SERPINA5,2.78906687513027,2.72780564614245,2.64754590149023,2.67698675428355,3.04744359216598,2.82250959021307,2.87666605520655,2.8407175614266,2.67222513130895,3.11825243318368,2.98705210681432,2.9189159432255,2.71641406886177,2.87707885914963,3.10905528132031,2.80812655114688,2.81972066497894,2.68469393708646,2.87999236576005,2.97428981410917,2.73075024890113,2.81400129865147,3.02880723270233,2.87385639814453,2.64504150965024,2.90208175084631,2.97299182372537,2.91167787396487,2.92618718088588,2.98250495036091,2.96068065173168,3.25196558324606,3.04190899882546,2.65883227598599,2.92590057023797,2.8247046959114,2.76820090268396,2.91841890930421,2.80054386113851,2.88901489584166,3.03710837781136,3.05503295472924,2.90704377019295,3.03251344785045,2.78794619933283,3.07040506640332,2.89521310563344,3.07298864959199,3.10627505775346,2.79948168500929,2.8632279369591,2.83713689659893,2.94856098352789,3.10540244703838,3.03107409129982,3.07509067271247,2.54130824663557,2.76886059575856,2.93819787818997,2.94941761490006,2.87172416354462,2.80591945681342,2.7123585090314,3.08650758945786,2.97653367241768,3.20762743775742,3.02115955826038,2.97878917425992,2.91960595259561,2.9456054194996,2.97751270439676,-1.40612827465075,-1.45610004345184,-1.47799935719299,-1.50707638209989,-1.28888731530651,-1.32883100372562,-1.33508505273608,-1.37564385592621,-0.242417883049295,-0.546381237700743,-0.6753314029234,0.0825623069010421,-0.137599301833453,0.0875009268578653,-1.05121920069275,-0.143301767959842,-1.02517585766581,-0.555362900406166,0.203110488615824,-0.00902720106802813,-0.359507588472007,-0.313454127112067,-1.26891918759967,-1.08957389493037,-0.217874475651294,-1.33854254330087,-2.04324842420119,-1.05227023745509,-1.24580611067632,-0.268685945675949,-0.251087160016929,-0.183654276092313,-0.333383963301877,-1.24283446630151,-1.01492474974321,-0.210035656048465,-0.47950851508949,-0.461261850381022,1.94057489072445,2.16709808030087,2.05959082635989,2.02224454730573,2.08313996186345,1.93076069875914
PLG,2.70521594452312,2.1217125615133,2.57749866247874,2.45738732590278,2.58593144453947,2.67678018718654,2.42121564617472,2.58299256121737,2.44293738696963,2.73825132251242,2.70068742008329,2.70246334033511,2.29043966352436,2.51437472978187,2.85845658388548,2.54286396083386,2.49100956199027,2.44319854807557,2.69482061732233,2.59280164572398,2.70505713380144,2.57548316480181,2.67085517763741,2.8664872446836,2.53347729802954,2.465256307538,2.64730052407426,2.44076489368337,2.51864082924763,2.72663971355023,2.60764669818398,2.77770073794746,2.72464812089222,2.65554600469989,2.7565360181687,2.65201048984388,2.43617821073018,2.49826455094904,2.43456423063395,2.66628036240768,2.80895749271357,2.78488851191251,2.60305032301035,2.79352180506581,2.57220835530982,2.43311228839143,2.74521913671573,2.65452537478148,2.74349796372618,2.47915071265448,2.36344622202281,2.63038494413922,2.51036763481155,2.68521132284417,2.68784175298393,2.95138716799962,2.24289453835458,2.54632246805257,2.8677210959693,2.75548885172847,2.57299276264835,2.45741135460803,2.44831399027041,2.82393199412505,2.57903558237004,2.66274427096955,2.77862442847664,2.69987576893675,2.65140013190911,2.55447289828929,2.75026019148511,2.65684115345411,2.60404919495904,2.61243432017357,2.66113222795605,2.72975149038923,2.71300146487976,2.71718555046445,2.75087295783741,2.72039140858888,2.74616147493022,2.74595828475819,2.78500234631029,2.7631933662331,2.79492172539396,2.66565120500362,2.74526205490735,2.72190862391303,2.69729762376216,2.61092343674636,2.71224337310175,2.77354890274293,2.70259274222957,2.71981802663154,2.63849416913286,2.6539859986332,2.40582591403001,2.68834674786811,2.61048363237168,2.65372408464918,2.61058372019487,2.55377451535606,2.61939081024979,2.79202221305199,2.66740911884822,2.68318032423388,2.64428107657832,2.62089788446111,2.61776721438883,3.13585469464616,3.21954359685784,3.27719472873856,3.24931600814014,3.19266554606826,3.06627101532949
COLEC10,-0.143252289646912,-0.138165432851246,-0.145098276208181,-0.101161531746841,0.382712473100287,0.0306270773204781,0.405435021933684,-0.34404960603483,-0.374027826456357,-0.460237606774726,-0.0587526273448581,-0.228250354277316,0.292123485476225,-0.328007243184998,-0.597275732226675,-0.207354228377379,-0.178474435497308,-0.224909165807072,-0.0379844011113613,0.234789694184107,-0.217944024561167,0.0825226054265938,-0.384378722737596,-0.220150343660044,-0.140881624854711,0.486922056710057,0.374062143659994,0.104708994073602,-0.279899586615959,-0.266482082592101,-0.0445515378723354,0.355491383959544,0.0446327876296721,-0.243915872478565,0.31433073952805,0.136393671525521,0.492616064380623,0.130945778518522,0.556101881685666,0.120233922177702,-0.284927324206038,-0.132887104388221,-0.18282973449411,0.220983898975866,0.0781966915055161,-0.264387500165321,-0.147921986962968,-0.0789411452495588,-0.401703971638924,0.16222399330027,-0.156928299410105,-0.0132393340228056,0.019375112435212,-0.241119677408248,-0.100791387228285,-0.421520918750833,-0.0698190859386077,-0.0746321436948897,0.171236039873407,-0.234449985180556,-0.26770070049844,-0.0384938388092832,0.050847791683969,-0.383397475346708,-0.0176012833665636,0.322734312230306,-0.0528160238947772,0.0568618255106441,-0.307780641067364,0.689166953779664,-0.38511525104233,0.516789933768781,0.51606823810413,0.439248226509873,0.442395322498902,0.324553817010859,0.460504953487095,0.361151491726847,0.210539558825017,0.927186017687501,0.936231730380725,1.00467834004911,0.872139443455854,0.697232405630825,0.992460479062425,0.855230165975933,0.785985837166357,0.816289404266323,0.791497116577295,0.8013368180168,0.795832231526552,0.881223294351189,0.909924867941255,0.837822720028956,0.958801296269146,0.714015148332666,0.742927376062231,1.0197377986548,0.986407843534925,0.662496497684383,0.865405594703274,0.814288807839728,0.740184289686341,0.956885878744686,0.795697197753743,0.799042192574586,0.855161174146314,0.93793109329593,0.91136556781809,1.29936045540567,1.63329737587319,1.47095746966575,1.71010185813141,1.6312981276302,1.68737321732996
