HO_up	HO_down	NAFLD_up	NAFLD_down	NASH_up	NASH_down	HF12_up	HF12_down	HF18_up	HF18_down	STZ12_up	STZ12_down	STZ18_up	STZ18_down	MCD4_up	MCD4_down	MCD8_up	MCD8_down	Pten_up	Pten_down	HF30_up	HF30_down	WTD_up	WTD_down
LOC642947	SLC16A7	STAB2	IGFBP2	ATF3	IGFBP2	Creb3l3	Hbb-bt	Cyp51	G6pc	Ctsz	Alb	Aldh1a7	Ctsz	Fmo3	1110001J03Rik	Cyp2b9	1110001J03Rik	Aqp8	Apom	Mgst3	Cyp17a1	Eno1	Gnmt
GRID1	FAM171A1	GRM8	P4HA1	FAM111B	P4HA1	Nr1h4	Apom	Aldh1a7	Tat	Aldh1a1	Gnmt	Cxcl9	Aldh1a1	Cyp2b9	Hbb-bt	Mt1	Cyp17a1	Hal	Mt1	H2-Aa	Apom	Elovl2	Nnmt
TRHDE	BHLHA15	ERV3-1	CXCL13	AEBP1	CXCL13	Pbld2	G6pc	Plin2	Gc	Arl8a	Cps1	Lgals1	Arl8a	Cyp2b13	Gnmt	Mgst3	Gnmt	Lgals9	Afm	Acot13	Afm	Rgs16	Slc22a26
ATHL1	COX7B	INHBE	CYP1A1	NCF2	CYP1A1	Tmem82	Ces1b	Lgals1	Fgb	Fads2	Tat	Aldh1a1	Fads2	Cyp2b23	G6pc	Pdlim1	G6pc	Eno1	Rbp4	Idh2	Slc22a26	8430408G22Rik	Hal
DOK6		CDHR2	SLC16A7	THY1	SLC16A7	Slc27a2	Elovl6	Aldh1a1	Dusp1	Gm1821	Slc22a26	Nceh1	Gm1821	Hamp2	Slc38a4	Wfdc17	Ces1b	Ppp1r3b	Ndufb10	Myl6	Hal	Ehhadh	Wfdc21
MIR107		TMEM63A	IGF1	LYZ	IGF1	Eif4a2	Calm2	Hsd17b7	H2-Q10	Apoa4	Igfbp1	Enpp2	Apoa4	Mt1	Apoh	Slc22a26	Elovl6	Psen2	Hsd17b6	Aldh1a7	Serpina1a	Plin2	Etnppl
HYDIN		UGT2A3	SHBG	MCM2	SHBG	Pskh1	Cps1	Klhl21	Sgk1	Hspb1	Gc	Apoa4	Hspb1	Apcs	Aqp8	Akr1b7	Thrsp	Khk	Trp53inp1	Cyb5a	Dusp1	Rhou	Rpl12
NCAM2		ME1	BHLHA15	MIR99A	BHLHA15	Tmem134	Rps5	Cyp8b1	Pck1	Fam25c	Aadac	Entpd5	Fam25c	Dcn	Afm	Rps7	Slc38a4	Clpx	Cyp2c29	Pgrmc1	Sgk1	Enc1	Upp2
		ADCY10P1	SLC16A4	AMICA1	SLC16A4	Map2k3	Sqrdl	Cyp2f2	Hspa5	Slc5a6	Akr1c6	Lrp4	Slc5a6	Ccl9	Pigr	Il1b	Tat	Insig2	Srp9	Gsta2	Ppp1r3c	Krt23	Rnase4
		H2AFY2	PCDH20	GINS1	PCDH20	Trp53inp2	Thrsp	Ugt3a1	Avpr1a	Cyp4a31	Fgb	Cidec	Cyp4a31	Nt5e	Sdhd	Plac8	Apoh	Cd9	Cyp2c55	Mgst1	Dct	Anxa5	Urad
