,CM1,CM2,CM3,WT1,WT2,WT3
,21.1597261019382,21.0843868440339,21.1658116320985,21.1685068132258,20.9783516843,21.0499801296129
5_8S_rRNA,11.7538574844063,12.6104551380284,12.3931525671453,11.2280114618881,12.3760022676045,11.4759640065916
5S_rRNA,8.99370345609123,9.44403058840988,9.46134689373136,9.06317448101124,8.6906669014416,8.86409038392157
7SK,18.8014598539732,18.4872757854304,18.3040690338712,18.8065072300111,18.8170558395449,19.0631148667159
A2M,14.8036620712287,13.7728056994672,16.0939857380856,15.6682464554594,15.8779252900043,15.7515954288031
A2ML1,0,2.02930746986762,2.80233407796903,1.41041223706622,2.17488346731393,0.971354017883843
A3GALT2,2.75047681679522,4.12414658517802,4.24237714156009,3.08092874086406,4.40695048059488,3.2699486177288
A4GALT,5.04808846704163,5.81960671131029,6.00769379056206,5.94302542368805,5.77112670323183,5.61571039772322
AAAS,8.52680109596312,8.4007727763973,8.50906796238079,8.30776532549372,8.54551376549501,8.31734498002164
AACS,6.58658398684489,6.95749144195643,7.50355201997871,7.23898610110808,6.72227355452947,7.45815017485535
AADAC,13.7007613638817,13.9409414757213,13.6991902310085,13.4782966386974,13.0936476748475,13.5550009126673
AADAT,10.1764124404247,10.270135013118,9.00145970330582,8.44451160055309,9.38194498664109,9.93087050646545
AAGAB,7.34490783907542,7.82667448109909,7.24400377122618,7.51880590392922,8.03356255902058,7.86123492166569
AAK1,8.23467519240057,8.24338668489595,8.2896987038113,8.15248974967932,7.98934048993349,8.09715298471451
AAMDC,8.0721898993733,7.97542689462827,7.88534150320575,7.8650425164688,7.89127879565574,8.1663268500874
AAMP,10.1091535205277,9.8235370795082,9.83806808715505,10.0198144481446,10.0037217505097,10.2241051569115
AANAT,1.71885828553334,3.03413468395065,2.53120547989888,1.41041223706622,2.64921059767972,2.27581746663884
AAR2,8.09050057298261,7.89676116154589,7.92135012663613,7.83915981536493,7.88055788190933,8.62526594942624
AARS,10.8678831746169,10.4860015011702,10.6320370965538,10.7795468898269,10.5485532694764,10.6546898919957
AARS2,8.22365684573936,8.25798537250499,8.30067663700303,8.32651619869242,7.86432563558961,8.35592878408122
AASDH,8.72733970241092,8.58573751622608,8.446192686042,8.56941113829811,8.65021234057223,8.33032124146074
AASDHPPT,10.1634974864224,10.1759027867796,10.0283949818903,10.1199486268213,10.0172436065252,10.3547408708114
AASS,12.7677031614633,12.7170998948948,11.6261379999504,11.9045480488453,12.553958417061,13.721133014148
AATF,8.38069877213423,8.62380823277298,8.12034987133476,8.14828003255077,7.95908762988482,8.68035824243988
AATK,8.3657418532511,6.83301545539252,6.95534802541795,7.82340433370306,6.67342102329714,7.65665437669712
ABAT,12.5822828046772,12.3518212033848,11.7977083867165,11.3457421103998,11.3611699625781,11.5985708578704
ABCA1,12.4095202580198,12.5932884340513,13.0374762771884,11.8973544290017,12.2223586506174,12.28087548394
ABCA10,9.77553055312323,8.9901528871397,10.630950186893,9.20368208487033,10.039100504761,9.2931573075881
ABCA12,3.76602996249381,0,4.24237714156009,3.33909758357147,3.29112201529823,4.40424085981234
ABCA13,8.97739695227135,7.54652929950944,8.78401355337941,7.99262145586786,8.18501495367539,8.2506529937266
ABCA2,10.8138052720527,10.3266274395314,11.025224304639,10.149735319136,9.79691700455445,9.61108522591283
ABCA3,7.28256644575168,7.60859915840627,7.53177893820561,7.28572821069655,7.17249085981669,6.96494966451332
ABCA4,8.07831931564403,8.92456093480599,8.71593732188169,7.48582197315561,8.9433650001399,7.05107998466249
ABCA5,8.3250816397552,7.98715745727516,8.42126099189629,8.11846296560879,8.95618589915258,7.99763210814084
ABCA6,14.4726425847014,13.9325292212261,14.1072482450454,14.1698566451167,14.0905156904116,14.1206401322857
ABCA7,5.77758576583962,6.16767978659566,5.74378404203268,6.68615115632914,6.45957011891752,5.61571039772322
ABCA8,11.7581592278658,12.2318468123323,12.2525312120251,13.0972739372037,12.9980038246948,13.0224524127569
ABCA9,9.98414949924413,10.130345966242,11.0875608985877,10.1570868818689,10.2516223878621,9.92517962409698
ABCB1,12.359120681622,13.0212216562241,12.903472003326,13.1891441379124,12.7601101926533,12.0643218488064
ABCB10,10.4840201610236,10.4860015011702,10.1950442404858,10.4770848964485,10.3216581627997,10.5318171664932
ABCB11,14.845703751547,14.2300800913515,14.0913336621035,13.2829720868813,13.8219925615492,13.4574629932154
ABCB5,0,1.01960431466402,2.53120547989888,0.871106762164803,0.90986771969994,1.9568148675425
ABCB6,9.19044798433993,9.00465323313545,8.96051363220915,9.49145191731283,9.05246086343082,9.37266582902795
ABCB7,10.4020924454169,10.1656159033502,9.98311507869139,10.2415144130538,10.3761008894722,10.4310131395801
ABCB8,8.1382224243421,8.08319436360786,7.84841107392743,7.45888088333013,7.70937992226358,7.46601053937479
ABCB9,3.17331184788929,4.62230637750808,3.22742587167736,3.21578035551584,2.64921059767972,3.11859879883078
ABCC1,6.63728556889993,6.89659550877688,6.40360065534361,6.72058296115011,7.18125372773841,6.87334896434487
ABCC10,8.26185842872573,8.49416354388584,8.75637008482264,8.35966560348112,7.89660952393093,8.03510112243237
ABCC11,5.74713048578877,6.30523323084561,5.37971213842629,4.69331777446206,4.81992715734357,3.64710249406372
ABCC12,4.64751364076999,4.20673450825223,2.19705030653777,1.80206769594259,4.2154816951729,3.7536942364791
ABCC2,13.5113031285007,12.8509171510689,12.8404545375873,13.0389215798819,13.0254841580753,13.0628582102103
ABCC3,11.4549457879538,10.81700104752,10.8790773999177,10.324075031596,10.6090668221413,10.1697928929255
ABCC4,8.33022727843174,8.82349351197426,8.05052946383035,7.45206626062105,7.24114726561863,7.76893629241028
ABCC5,8.3905845937483,8.44397391128794,8.37006658398399,8.83338656710183,9.43236541622083,8.58973337465258
ABCC6,12.3679044833561,12.0470148823292,12.0800791249841,11.1047094592233,11.4118436063464,10.8102101491945
ABCC8,2.75047681679522,3.84355347786189,3.03048038747607,5.1289403015643,2.17488346731393,2.5368982410065
ABCC9,12.549566442422,12.3159347971877,12.2836420330943,12.6568186309648,12.3560667234063,12.7355361183968
ABCD1,8.06603433058981,8.18855761465165,8.19285121654614,7.72507747994395,7.89660952393093,8.06646064251147
ABCD2,4.50917016833856,3.84355347786189,4.3307146625231,3.99305653407003,4.14556261587777,3.40691742400845
ABCD3,11.5345630289763,12.677601940483,12.1617482344932,13.2614519291744,13.2215441133069,12.6772692468681
ABCD4,10.071240458727,9.85748542461435,10.0316931874377,9.99071997475062,9.57882708425689,9.605758614191
ABCE1,10.6003963047618,10.6554701693299,10.5435442061996,10.8098467339584,10.9282097056256,11.3594744095885
ABCF1,9.98088131421557,9.9989091525803,9.91866231098243,10.3005580273693,10.0981321580357,10.3387762872501
ABCF2,7.92350856734423,7.71823844932956,7.84841107392743,8.27338709567644,8.26137980377386,8.65651380505281
ABCF3,9.61403869415956,9.39643922917057,9.3362243617313,9.62013571931049,9.61808038026173,10.1369349384543
