"","FPKM.L_32ko1","FPKM.L_32ko4","FPKM.L_32ko5","FPKM.L_32wt1","FPKM.L_32wt4","FPKM.L_32wt5","FPKM.L_48ko1","FPKM.L_48ko2","FPKM.L_48ko3","FPKM.L_48wt1","FPKM.L_48wt3","FPKM.L_48wt4"
"A1bg",0,18.453028,0.03734,0.0374,0.022054,0.146808,0.118531,0.912106,0.161532,0.502952,0.127622,0.014943
"A1cf",154.796265,105.307991,94.237503,88.445786,124.052216,120.563744,100.08683,92.94194,84.090912,100.324348,98.627869,77.044487
"A1i3",1672.084106,616.200989,590.695923,1907.239502,2920.104736,2434.283447,1224.790283,1273.69397,1447.144165,1805.003174,2563.843262,2454.457275
"A2m",0.794752,7.1006545,10.355598,4.3153365,2.489157,0.448425,6.048451,2.7561635,1.153698,0.413374,0.2352935,0.451527
"A3galt2",0.342788,1.521274,3.562884,0.323523,0.310516,0.379427,0.216937,0.421323,0.544559,0.451295,0.146378,0.22722
"A4galt",0,0,0.057434,0,0,0,0,0,0,0,0,0
"AA926063",0.528032,0.650807,0.218286,0.840885,0.85956,0.962894,1.480865,1.775888,1.501459,2.636557,1.114261,1.737089
"Aaas",2.391055,2.955537,3.598696,2.337678,3.126731,2.677007,2.916387,2.467579,2.298004,2.411185,2.419554,3.056525
"Aacs",0.314641,1.52335,1.241295,0.507444,0.433613,1.147105,1.000403,1.717554,2.01403,0.929186,0.946791,0.432458
"Aadac",52.197639,47.341434,40.496025,24.160151,35.272842,40.721199,45.215309,49.102871,34.534367,32.21447,32.939915,37.850304
"Aadacl2",0,0,0,0,0,0.00789,0,0,0,0,0,0
"Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0
"Aadat",135.366608,81.025063,67.963593,79.736076,95.780022,132.414124,108.744354,124.187309,99.064552,124.282578,124.11071,119.196228
"Aaed1",7.555816,7.918374,10.311348,11.871411,9.327722,9.678577,11.695255,11.557849,8.811093,9.86222,8.325891,9.542917
"Aagab",4.625723,6.406956,7.60179,5.362308,5.598566,5.056298,6.280851,5.782352,5.875259,5.083123,5.76212,6.295691
"Aak1",1.886564,1.794951,1.873268,1.477331,1.594838,1.814532,1.450839,1.420588,1.448161,1.369433,1.592083,1.618796
"Aamdc",6.55183,4.633613,3.961745,4.809342,7.474509,6.655713,5.542855,5.549265,4.72675,5.20354,5.892124,5.4011
"Aamp",35.649895,37.585796,41.068684,32.754906,37.558899,33.449375,30.774513,31.641609,29.381815,32.741001,32.172581,37.575344
"Aanat",0.030051,0.025965,0.074577,0.056553,0.050295,0,0.056459,0.012527,0.052944,0.029091,0,0.025295
"Aar2",4.054352,5.530103,5.363659,4.418285,5.074617,4.936791,4.499608,4.001418,3.94982,4.905397,4.824324,4.473335
"Aard",0,0,0,0.12695,0.119935,0.028554,0,0,0,0,0,0.026615
"Aars",51.403248,63.354992,80.1315,62.758743,42.069229,40.291172,60.771511,55.220921,59.897972,58.763977,47.22897,63.242134
"Aars2",2.018126,3.315589,3.447429,3.283372,3.082448,2.654673,2.454985,2.488527,2.52703,2.294043,2.423023,2.871293
"Aarsd1",3.142212,4.510031,4.560612,3.147738,4.255717,3.732332,3.29582,3.402678,3.636314,3.608642,4.320888,3.838679
"Aasdhppt",32.931248,28.508038,28.10144,26.212387,29.435228,27.733004,26.54936,27.029907,25.059277,27.914928,29.480021,29.377285
"Aass",83.204613,49.906406,39.021252,66.045609,73.811584,84.860275,73.846481,91.508041,83.643173,62.872345,52.175659,89.727974
