diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down
Abcd1,Abcc5,Acaa1b,A2m,A2m,A1bg,A1bg,A1i3,Abcc3,Abcg5
Adam15,Abcg2,Acsl3,Abcc2,A3galt2,A1i3,A3galt2,AA926063,Acpp,Abcg8
Add1,Abcg8,Acvr1c,Abcg5,Abca2,Aadat,Abca2,Aadat,Acsl5,Abhd14a
Adra1b,Abhd5,Adamdec1,Abcg8,Abca4,Aamdc,Abca4,Aamdc,Acss2,Ablim3
Afmid,Ablim3,Adh1,Abhd2,Abca5,Abca8a,Abcb1a,Aass,Adamts12,Acadm
Ahcy,Acsl4,Adh7,Ablim3,Abcb1b,Abcb7,Abcb1b,Abcb11,Adamts4,Afm
Ahdc1,Adck5,Agap3,Ac1576,Abcc1,Abcc2,Abcc1,Abcb7,Agap3,Agpat6
Akr1c13,Ak6,Ak4,Adcy10,Abcc3,Abcc6,Abcc3,Abcc2,Aifm2,Agt
Amotl2,Amigo1,Akr1d1,Ager,Abcc9,Abcg5,Abcc9,Abcg5,Anp32a,Ahctf1
Angptl3,Aox3,Akr7a3,Amacr,Abcg3l3,Abcg8,Abcg2,Abcg8,Anxa5,Amdhd1
Apoa2,Apoa5,Aldh1a1,Amigo1,Abi2,Abhd1,Abcg3l1,Abhd14a,Appl2,Ankrd32
Aqp11,Arhgef3,Aldh1l1,Angptl2,Abr,Abhd14a,Abcg3l3,Abhd14b,Arl4d,Aox3
Arhgef19,Armcx3,Amer1,Aox3,Abracl,Abhd14b,Abhd6,Abtb2,Arntl,Apoa5
Asb5,Asl,Amotl2,Apcs,Acaa1b,Abhd2,Abi2,Ac1576,Atat1,Atp7b
Atp1a3,Atp8b1,Angptl4,Apoa5,Acbd3,Ac1576,Abr,Acacb,Atf4,C1qtnf3
Bcar1,Cav2,Anxa5,Aqp9,Ace,Acadsb,Ace,Acad10,B4galt1,Camk2n1
Bche,Ccdc152,Anxa8,Arhgef3,Acer2,Acbd4,Ackr3,Acadsb,Bst2,Car3
Bco2,Ccnd1,Apitd1,Armcx3,Ackr3,Ace2,Acot1,Acbd5,Btg1,Ccdc126
Bhlhe40,Chmp4c,Ar,Arntl2,Acot1,Ackr2,Acot11,Acmsd,C4b,Ccdc146
C2cd2,Cks1b,Arl4d,Ascl1,Acot2,Acnat2,Acot2,Acnat2,C9,Ccnd1
Cadm1,Ctr9,Arpp19,Asl,Acot3,Acot12,Acot9,Acot12,Cacnb4,Ccnf
Cd14,Dab1,Arrdc3,Atp8b1,Acot4,Acot5,Acta2,Acox2,Camkk2,Ces1c
Cd99l2,Dap,Arse,C1qtnf3,Acot9,Acox2,Actb,Acsbg1,Cblc,Ces1d
Cers2,Egfr,Asah2,Cacnb2,Acsl3,Acox3,Actg1,Acsl4,Ccl21,Cgrrf1
Ces2c,Exosc2,Asb5,Cadm4,Acta2,Acsf2,Actg2,Acsm3,Cd36,Ciart
Ces4a,Fabp7,Bag4,Camk2n1,Actb,Acsl4,Adamts2,Acy1,Cd72,Cib2
Chpt1,Fastkd1,Bco2,Casp6,Actg1,Acss3,Adamts3,Acy3,Ces2a,Cited4
