Hum,Macaca,Mouse,Rat
RNU6-871P,U6,Gm22894,U6
SNORA24,SNORA24,Gm23482,SNORA24
RNU1-52P,U1,Gm22611,U1
SNORD11B,SNORD11B,Gm26287,SNORD11B
RNU6-364P,U6,Gm23302,U6
RN7SKP204,7SK,Gm24893,7SK
Evf-2_5p,Evf-2_5p,Dlx6os1,Evf-2_5p
SNORD59A,SNORD59,Snord59a,SNORD59
RN7SKP238,7SK,Gm22160,7SK
RNU6-1312P,U6,Gm22067,U6
RNA5SP435,5S_rRNA,Gm25923,5S_rRNA
SCARNA10,snoU85,Scarna10,snoU85
RNU1-142P,U1,Gm24524,U1
RNU1-74P,U1,Gm23692,U1
RNU2-68P,U2,Gm26020,U2
SNORA24B,SNORA24,Gm26147,SNORA24
MAP4K5,MAP4K5,Map4k5,Map4k5
SAV1,SAV1,Sav1,Sav1
IRF3,IRF3,Irf3,Irf3
TTC12,TTC12,Ttc12,Ttc12
SAMD1,,Samd1,Samd1
PAPD7,PAPD7,Papd7,Papd7
MRPL12,MRPL12,Mrpl12,Mrpl12
MYH14,MYH14,Myh14,Myh14
MYBPH,MYBPH,Mybph,Mybph
SPRED3,SPRED3,Spred3,Spred3
SNAPC4,SNAPC4,Snapc4,Snapc4
ASB7,ASB7,Asb7,Asb7
NUP88,NUP88,Nup88,Nup88
PID1,PID1,Pid1,Pid1
CD34,CD34,Cd34,Cd34
BACE1,BACE1,Bace1,Bace1
MT-ND2,ND2,mt-Nd2,Mt-nd2
MT-CO1,COX1,mt-Co1,Mt-co1
MT-CO2,COX2,mt-Co2,Mt-co2
LMOD1,LMOD1,Lmod1,Lmod1
IRX1,IRX1,Irx1,Irx1
MT-ATP8,ATP8,mt-Atp8,Mt-atp8
MT-CO3,COX3,mt-Co3,Mt-cox3
RHBDF2,RHBDF2,Rhbdf2,Rhbdf2
MT-ND3,ND3,mt-Nd3,Mt-nd3
PRG3,PRG3,Prg3,Prg3
SLC5A9,SLC5A9,Slc5a9,Slc5a9
MT-ND4,ND4,mt-Nd4,Mt-nd4
SLC23A1,SLC23A1,Slc23a1,Slc23a1
MT-ND5,ND5,mt-Nd5,Mt-nd5
MT-ND6,ND6,mt-Nd6,Mt-nd6
MT-CYB,CYTB,mt-Cytb,Mt-cyb
CD53,CD53,Cd53,Cd53
NID1,NID1,Nid1,Nid1
MEGF9,MEGF9,Megf9,Megf9
SCRT2,SCRT2,Scrt2,Scrt2
UBASH3A,UBASH3A,Ubash3a,Ubash3a
FLYWCH2,,Flywch2,NEWGENE_6497122
PET100,PET100,Pet100,Pet100
PLPPR3,PLPPR3,Plppr3,Plppr3
MEIG1,MEIG1,Meig1,Meig1
EXOC3L1,EXOC3L1,Exoc3l,Exoc3l1
CD46,CD46,Cd46,Cd46
MSH3,MSH3,Msh3,Msh3
MECR,MECR,Mecr,Mecr
CYP11A1,CYP11A,Cyp11a1,Cyp11a1
C11orf88,C11orf88,4833427G06Rik,LOC100359479
BTG4,BTG4,Btg4,Btg4
MVB12B,MVB12B,Mvb12b,Mvb12b
CLSTN2,CLSTN2,Clstn2,Clstn2
TOX2,TOX2,Tox2,Tox2
UBA3,UBA3,Uba3,Uba3
TOX,TOX,Tox,Tox
FOXN3,FOXN3,Foxn3,Foxn3
SLC36A1,SLC36A1,Slc36a1,Slc36a1
C8B,C8B,C8b,C8b
KCNJ11,KCNJ11,Kcnj11,Kcnj11
ODF1,ODF1,Odf1,Odf1
TOM1,TOM1,Tom1,Tom1
MTCP1,MTCP1,Mtcp1,Mtcp1
EXOSC7,EXOSC7,Exosc7,Exosc7
GNGT2,GNGT2,Gngt2,Gngt2
B3GALNT2,B3GALNT2,B3galnt2,B3galnt2
AL672043.1,,1700042G07Rik,LOC100911669
NOVA2,,Nova2,Nova2
EFNA2,EFNA2,Efna2,Efna2
ISX,ISX,Isx,Isx
HSPA12A,HSPA12A,Hspa12a,Hspa12a
XRCC4,XRCC4,Xrcc4,Xrcc4
CACFD1,CACFD1,Cacfd1,Cacfd1
CYB5RL,CYB5RL,Cyb5rl,Cyb5rl
CCNJL,CCNJL,Ccnjl,Ccnjl
ARMC5,ARMC5,Armc5,Armc5
EXOC1L,EXOC1L,Gm7271,LOC686911
SSH2,SSH2,Ssh2,Ssh2
ADAMTS13,ADAMTS13,Adamts13,Adamts13
WDHD1,WDHD1,Wdhd1,Wdhd1
APOM,APOM,Apom,Apom
DPP3,DPP3,Dpp3,Dpp3
PKN3,PKN3,Pkn3,Set
SYN3,SYN3,Syn3,Syn3
PPP1R15A,PPP1R15A,Ppp1r15a,Ppp1r15a
TIMP3,TIMP3,Timp3,Timp3
POLRMT,POLRMT,Polrmt,Polrmt
FBXO30,FBXO30,Fbxo30,Fbxo30
GNPTG,GNPTG,Gnptg,Gnptg
ASNS,,Asns,Asns
ZBTB40,ZBTB40,Zbtb40,Zbtb40
HCN2,HCN2,Hcn2,Hcn2
TRPV4,,Trpv4,Trpv4
FGF21,FGF21,Fgf21,Fgf21
FUT1,FUT1,Fut1,Fut1
PTPN21,PTPN21,Ptpn21,Ptpn21
RSBN1,RSBN1,Rsbn1,Rsbn1
SLC37A4,SLC37A4,Slc37a4,Slc37a4
DPP8,DPP8,Dpp8,Dpp8
CGAS,CGAS,Mb21d1,Mb21d1
MAP10,MAP10,Map10,Map10
RRP8,RRP8,Rrp8,Rrp8
IFT22,IFT22,Ift22,Ift22
GALC,GALC,Galc,Galc
FAM102A,FAM102A,Fam102a,Fam102a
SURF6,,Surf6,Surf6
BICD2,BICD2,Bicd2,Bicd2
CSNK1G2,CSNK1G2,Csnk1g2,Csnk1g2
TLX1,TLX1,Tlx1,Tlx1
DCAF6,DCAF6,Dcaf6,Dcaf6
CBLN3,CBLN3,Cbln3,Cbln3
PHTF1,PHTF1,Phtf1,Phtf1
ALDH3A1,ALDH3A1,Aldh3a1,Aldh3a1
PIP4K2B,PIP4K2B,Pip4k2b,Pip4k2b
WDR81,WDR81,Wdr81,Wdr81
FUNDC2,FUNDC2,Fundc2,LOC365778
ST3GAL6,ST3GAL6,St3gal6,St3gal6
ATP2C2,ATP2C2,Atp2c2,Atp2c2
ATP2B3,ATP2B3,Atp2b3,Atp2b3
RIMS3,,Rims3,Rims3
TRIM41,TRIM41,Trim41,Trim41
RAB30,RAB30,Rab30,Rab30
SLC39A14,SLC39A14,Slc39a14,Slc39a14
SOD3,SOD3,Sod3,Sod3
PAQR5,PAQR5,Paqr5,Paqr5
NOL3,NOL3,Nol3,Nol3
CCDC65,CCDC65,Ccdc65,Ccdc65
ARF3,ARF3,Arf3,
FAM217A,FAM217A,Fam217a,Fam217a
AP2B1,AP2B1,Ap2b1,Ap2b1
TNS2,TNS2,Tns2,Tns2
PTPN9,PTPN9,Ptpn9,Ptpn9
MAPK8,MAPK8,Mapk8,Mapk8
CHST15,CHST15,Chst15,Chst15
CRISP2,CRISP2,Crisp2,Crisp2
DEFB115,,Defb28,Defb28
MVK,MVK,Mvk,Mvk
SLAIN1,SLAIN1,Slain1,Slain1
C1orf54,C1orf54,BC028528,
ZNF653,ZNF653,Zfp653,Zfp653
SNORD83B,snoU83B,Snord83b,snoU83B
SNORD67,SNORD67,Snord67,SNORD67
RNU6-324P,U6,Gm24836,U6
SNORD125,SNORD125,Gm24958,SNORD125
RNU6-308P,U6,Gm26131,U6
RNU6-724P,U6,Gm26335,U6
RNA5SP322,5S_rRNA,n-R5s77,5S_rRNA
SNORA5C,SNORA5,Snora5c,SNORA5
SNORA67,SNORA67,Gm24151,SNORA67
RNU6-268P,U6,Gm24242,U6
SNORA23,SNORA23,Snora23,SNORA23
RNU6-761P,U6,Gm24508,U6
SNORD42B,SNORD42,Snord42b,SNORD42
RNU6-723P,U6,Gm25362,U6
RNU6-616P,U6,Gm25654,U6
RNY3,Y_RNA,Rny3,Y_RNA
RPPH1,RNaseP_nuc,Rpph1,Rmrp
RNU6-259P,U6,Gm25815,U6
RNA5SP41,5S_rRNA,n-R5s82,5S_rRNA
RNU6-1039P,U6,Gm25579,U6
RNU1-101P,U1,Gm22739,U1
RN7SKP276,7SK,Gm22207,7SK
RNU6-742P,U6,Gm24116,U6
RNA5SP390,5S_rRNA,Gm27952,5S_rRNA
SNORD62A,SNORD62,Gm22192,SNORD62
RNA5SP183,5S_rRNA,n-R5s209,5S_rRNA
RNA5SP164,5S_rRNA,n-R5s218,5S_rRNA
RNU6-997P,U6,Gm25464,U6
SNORD53,SNORD53_SNORD92,Snord53,SNORD53_SNORD92
RNU6-183P,U6,Gm25600,U6
uc_338,uc_338,Gm27401,uc_338
SNORD28,SNORD28,Gm24453,SNORD28
NEMF,NEMF,Nemf,
KLHDC2,KLHDC2,Klhdc2,Klhdc2
APBB3,APBB3,Sra1,Apbb3
NCSTN,NCSTN,Ncstn,Ncstn
ARHGDIA,ARHGDIA,Arhgdia,Arhgdia
TJP2,TJP2,Tjp2,Tjp2
RTN1,RTN1,Rtn1,Rtn1
DLX3,DLX3,Dlx3,Dlx3
PCDH1,PCDH1,Pcdh1,Pcdh1
TSPAN14,TSPAN14,Tspan14,Tspan14
PAPLN,PAPLN,Papln,Papln
TAB2,TAB2,Tab2,Tab2
SLC43A1,SLC43A1,Slc43a1,Slc43a1
VASH1,VASH1,Vash1,Vash1
INPP4A,INPP4A,Inpp4a,Inpp4a
SLC9A5,SLC9A5,Slc9a5,Slc9a5
CACNG7,CACNG7,Cacng7,Cacng7
CRYBG1,CRYBG1,Crybg1,Aim1
DCTN5,DCTN5,Dctn5,Dctn5
BEND5,BEND5,Bend5,Bend5
SFXN4,SFXN4,Sfxn4,Sfxn4
ATG2B,ATG2B,Atg2b,Atg2b
IDH3G,IDH3G,Idh3g,Idh3g
SSR4,SSR4,Ssr4,Ssr4
B3GAT2,B3GAT2,B3gat2,B3gat2
ARAP3,ARAP3,Arap3,Arap3
SYBU,SYBU,Sybu,Sybu
DAW1,DAW1,Daw1,Daw1
SIDT2,SIDT2,Sidt2,Sidt2
ELANE,ELANE,Elane,Elane
HPS6,HPS6,Hps6,Hps6
AP3M1,AP3M1,Ap3m1,Ap3m1
DHCR7,DHCR7,Dhcr7,Dhcr7
CLIP2,CLIP2,Clip2,Clip2
GPR137B,GPR137B,Gpr137b,Gpr137b
FEZ1,FEZ1,Fez1,Fez1
PXMP2,PXMP2,Pxmp2,Pxmp2
IPO9,IPO9,Ipo9,Ipo9
RFC2,RFC2,Rfc2,Rfc2
NSDHL,NSDHL,Nsdhl,Nsdhl
PNPLA7,PNPLA7,Pnpla7,Pnpla7
UBE2G1,UBE2G1,Ube2g1,Ube2g1
TCEA3,TCEA3,Tcea3,Tcea3
PCDH8,PCDH8,Pcdh8,Pcdh8
RN7SL1,Metazoa_SRP,Rn7s1,Rn7sl1
SNORD20,SNORD20,Gm24148,SNORD20
RNA5SP200,5S_rRNA,Gm23752,5S_rRNA
SNORD88,SNORD88,Gm25108,SNORD88
TCEAL9,TCEAL9,Tceal9,Tceal9
RN7SKP70,7SK,Gm25082,7SK
RNA5SP26,5S_rRNA,n-R5s26,5S_rRNA
SNORD23,SNORD23,Snord23,SNORD23
SNORD59,SNORD59,Mir677,SNORD59
RNU6-643P,U6,Gm23113,U6
SNORA27,SNORA27,Gm23202,SNORA27
RNU6-867P,U6,Gm27342,U6
RNU6-1188P,U6,Gm25664,U6
SNORD35A,SNORD35,Snord35a,SNORD35
SNORA4,SNORA4,Gm24616,SNORA4
CPEB3_ribozyme,CPEB3_ribozyme,Gm22714,CPEB3_ribozyme
RNU6-1205P,U6,Gm25367,U6
SNORA35B,SNORA35,Gm25107,SNORA35
VBP1,VBP1,Vbp1,Vbp1
CASP1,CASP1,Casp1,Casp1
COX16,COX16,Cox16,Cox16
ITGA9,ITGA9,Itga9,Itga9
MASP1,MASP1,Masp1,Masp1
INPPL1,INPPL1,Inppl1,Inppl1
MGAT4C,MGAT4C,Mgat4c,Mgat4c
ARL1,ARL1,Arl1,Arl1
PDC,PDC,Pdc,Pdc
CFI,,Cfi,Cfi
SYNDIG1L,SYNDIG1L,Syndig1l,Syndig1l
PRPF8,PRPF8,Prpf8,Prpf8
NHLRC4,NHLRC4,Nhlrc4,Nhlrc4
MAP3K3,MAP3K3,Map3k3,Map3k3
POLR3D,POLR3D,Polr3d,Polr3d
PXDC1,PXDC1,Pxdc1,Pxdc1
RNF103,RNF103,Rnf103,Rnf103
CFAP161,CFAP161,Cfap161,Cfap161
RMND5A,RMND5A,Rmnd5a,Rmnd5a
DDHD1,DDHD1,Ddhd1,Ddhd1
GCC1,GCC1,Gcc1,Gcc1
RTL6,RTL6,Rtl6,Ldoc1l
